yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
200808,1282.83,28.80666666666667,47.75666666666667,0.269889245509397,0.0172,0.0564,0.07150000000000001,0.0449,-0.04633216680269681,0.0013,-0.00399156225564179,0.0242,0.0121,0.003447891326,,0.014955,0.012682
200809,1166.36,28.854000000000003,45.95,0.28712354824499153,0.0113,0.0565,0.0731,0.0443,-0.04892122735574729,0.0015,-0.0013830185406644713,0.0112,-0.0863,0.023774695392,,-0.085467,-0.087287
200810,968.75,28.698333333333334,35.593333333333334,0.33409937361997466,0.0067,0.06280000000000001,0.0888,0.0478,-0.055953349949535026,0.0008,-0.01010133328457874,-0.0383,-0.045,0.05808849261200002,,-0.16698,-0.168455
200811,896.24,28.54266666666667,25.236666666666665,0.352867355907324,0.0019,0.061200000000000004,0.09210000000000002,0.0372,-0.05277765280240362,0.0003,-0.019152895328595876,0.1443,0.1174,0.03625708513899999,,-0.073512,-0.076514
200812,903.25,28.387,14.879999999999995,0.35498422472109836,0.0003,0.050499999999999996,0.0843,0.0303,-0.02449714128778858,0.0,-0.010342473814287434,0.0967,0.156,0.020089946671,,0.011995,0.009229
200901,825.88,28.009666666666668,12.206666666666663,0.3893931402374245,0.0013,0.050499999999999996,0.0814,0.0394,-0.0250559463096663,0.0,0.004352417375421025,-0.1124,-0.0949,0.011971096875,,-0.082615,-0.084039
200902,735.09,27.632333333333335,9.533333333333331,0.4411030549644411,0.003,0.0527,0.0808,0.0401,-0.02492727802018957,0.0001,0.004972933035904736,-0.005600000000000001,-0.0308,0.009961162350000002,,-0.103588,-0.107402
200903,797.87,27.255000000000003,6.859999999999999,0.29652828522313285,0.0021,0.055,0.0842,0.0355,-0.03742552011375591,0.0002,0.0024317484554154944,0.0641,-0.0018,0.020364427765000005,,0.087634,0.084154
200904,872.81,26.701333333333338,7.076666666666666,0.27622757745968474,0.0016,0.053899999999999997,0.0839,0.040999999999999995,-0.030990827070458138,0.0001,0.002496368277788097,-0.0649,-0.003,0.007551065655999999,,0.09423,0.09255
200905,919.14,26.14766666666667,7.293333333333333,0.2654320479322568,0.0018,0.0554,0.0806,0.0432,-0.024348684397920893,0.0,0.0028887638341774657,-0.0248,0.0489,0.006381091354,,0.05464,0.051848
200906,919.32,25.594,7.51,0.26710784894045225,0.0018,0.056100000000000004,0.075,0.0429,-0.02209742957998023,0.0001,0.008589892263953347,0.0083,0.035,0.003472522931,,0.002476,0.00068
200907,987.48,25.029666666666667,9.186666666666667,0.24600479087095942,0.0018,0.0541,0.0709,0.043,-0.01378164391101788,0.0001,-0.0015855869221532704,0.0019,0.0565,0.0037711532179999993,,0.074482,0.073101
200908,1020.62,24.465333333333334,10.863333333333333,0.23759408947503655,0.0017000000000000001,0.0526,0.0658,0.0415,-0.007921335111177751,0.0001,0.002242850044810618,0.0231,0.0235,0.0021777353590000004,,0.034751,0.032255
200909,1057.08,23.901,12.54,0.2323100240108399,0.0012,0.0513,0.06309999999999999,0.0403,-1.4791164629244888e-05,0.0001,0.0006254806934959944,0.0176,0.0273,0.0019126576490000003,,0.036534,0.034978
200910,1036.19,23.40233333333333,25.349999999999998,0.23229926086692415,0.0007000000000000001,0.051500000000000004,0.0629,0.042,0.0031970044950538692,0.0,0.000963101185818438,-0.0171,0.0016,0.0038980190779999997,,-0.018259,-0.019458
200911,1095.63,22.903666666666666,38.16,0.21810487160748743,0.0005,0.0519,0.0632,0.0406,0.007531928441904797,0.0,0.0007077533687673832,0.0208,0.0044,0.0020013324180000003,,0.060257,0.057607
200912,1115.1,22.405,50.97,0.21636451685597982,0.0005,0.0526,0.0637,0.0458,0.01059449014456254,0.0001,-0.001761198169463296,-0.0584,-0.0275,0.0009334541459999999,,0.018983,0.017346
201001,1073.87,22.238,54.29,0.2241170201036422,0.0006,0.0526,0.0625,0.0440589,0.013409696701461863,0.0,0.0034174735701484327,0.0263637,0.0095528,0.0019917045380000004,,-0.035751,-0.036781
201002,1104.49,22.070999999999998,57.61,0.21851846830007188,0.0011,0.0535,0.0634,0.0440712,0.013932087526728967,0.0,0.0002492073820765661,0.0031542,0.00388,0.0023732562839999995,,0.030424,0.028014
201003,1169.43,21.904,60.93000000000001,0.3818781702977812,0.0015,0.0527,0.06269999999999999,0.0457777,0.02639014854285798,0.0001,0.004106283536571276,-0.0178755,0.0045083,0.000633436921,,0.061014,0.05943
201004,1186.69,21.94833333333333,62.986666666666665,0.376606129202506,0.0016,0.0529,0.0625,0.0437358,0.02665103562082256,0.0001,0.001736884910697345,0.0303965,0.0357402,0.0017938673890000002,,0.015977,0.014957
201005,1089.41,21.992666666666665,65.04333333333332,0.4090027948144502,0.0016,0.0496,0.0605,0.040681,0.025719664997802864,0.0001,0.000775197354237811,0.0436836,-0.0051031,0.008107791315,,-0.080111,-0.082337
201006,1030.71,22.037,67.1,0.42417654148446593,0.0012,0.048799999999999996,0.0623,0.0376074,0.018775513314012934,0.0001,-0.0009762670846739097,0.0445643,0.0519454,0.005591726202999999,,-0.053525,-0.055115
201007,1101.6,22.142333333333333,68.68666666666667,0.39613355322121085,0.0016,0.0472,0.0601,0.0376576,0.015556846696006925,0.0001,0.00021104305737162932,0.0024381,0.0169798,0.003348826286000001,,0.070451,0.06862
201008,1049.33,22.247666666666667,70.27333333333333,0.41398161905674846,0.0016,0.0449,0.056600000000000004,0.0327078,0.011217743483584227,0.0001,0.0013806642784079948,0.0702126,0.0473188,0.0027046066069999998,,-0.045434,-0.04784
201009,1141.2,22.353,71.86,0.3843057827874361,0.0015,0.0453,0.056600000000000004,0.034063,0.0033375736118213114,0.0001,0.0005817362307156682,-0.0153301,-0.0143948,0.0023371919450000003,,0.090383,0.088751
201010,1183.26,22.478333333333335,73.69,0.3728872859404231,0.0013,0.046799999999999994,0.0572,0.0367157,0.007231949987281894,0.0001,0.0012451988884769616,-0.0317387,-0.0202745,0.001080044425,,0.038726,0.037081
201011,1180.55,22.60366666666667,75.52,0.3766947543253601,0.0014000000000000002,0.0487,0.0592,0.0380256,0.014798027395065673,0.0001,0.0004206464238194485,-0.0137264,-0.0057274,0.00173791556,,-5.1e-05,-0.002571
201012,1257.64,22.729,77.35,0.35810031690752153,0.0014000000000000002,0.050199999999999995,0.061,0.0413782,0.012611589836853662,0.0001,0.001718440789203024,-0.0388143,-0.0036191,0.000832119987,,0.067054,0.065249
201101,1286.12,22.963,78.67,0.3486322237012831,0.0015,0.0504,0.060899999999999996,0.0432,0.015367561129248638,0.0001,0.004763230053974166,-0.0196,-0.0198,0.0008632403759999999,,0.023349,0.022319
