TICKER,date,PRC,VOL,RET,vwretd,ewretd
TXN,20170531,82.49,942505.0,0.041803,0.009303,-0.011327
TXN,20170630,76.93,1017643.0,-0.067402,0.009551,0.022945
TXN,20170731,81.38,912284.0,0.064344,0.020309,0.009089
TXN,20170831,82.82,862486.0,0.017695,0.001575,-0.00874
TXN,20170929,89.64,881065.0,0.082347,0.023777,0.046863
TXN,20171031,96.69,907281.0,0.085565,0.019277,0.002217
TXN,20171130,97.29,764719.0,0.006205,0.027252,0.020848
TXN,20171229,104.44,959212.0,0.073492,0.012153,0.014234
TXN,20180131,109.67,1470362.0,0.056013,0.050627,0.02944
TXN,20180228,108.35,1321072.0,-0.012036,-0.039511,-0.04004
TXN,20180329,103.89,1126804.0,-0.041163,-0.018454,0.001183
TXN,20180430,101.43,1236080.0,-0.023679,0.00471,0.008205
TXN,20180531,111.91,959310.0,0.109435,0.026175,0.034612
TXN,20180629,110.25,924019.0,-0.014833,0.005363,0.002819
TXN,20180731,111.32,912538.0,0.015329,0.031603,0.0068
TXN,20180831,112.4,951050.0,0.009702,0.030204,0.019158
TXN,20180928,107.29,1180789.0,-0.045463,0.000432,-0.010314
TXN,20181031,92.83,2195871.0,-0.127598,-0.074076,-0.082433
TXN,20181130,99.85,1394182.0,0.075622,0.018489,0.000576
TXN,20181231,94.5,1419345.0,-0.053580,-0.089889,-0.09931
TXN,20190131,100.68,1577540.0,0.073545,0.088295,0.120268
TXN,20190228,105.78,974785.0,0.050656,0.032724,0.038566
TXN,20190329,106.07,996471.0,0.002742,0.012964,-0.003896
TXN,20190430,117.83,1090199.0,0.110870,0.037889,0.020323
TXN,20190531,104.31,1054437.0,-0.108207,-0.061679,-0.064571
TXN,20190628,114.76,895808.0,0.100182,0.067279,0.049002
TXN,20190731,125.01,1082236.0,0.096026,0.011854,-0.005245
TXN,20190830,123.75,1052568.0,-0.010079,-0.020339,-0.040001
TXN,20190930,129.24001,808124.0,0.044364,0.016033,0.017681
TXN,20191031,117.99,1164256.0,-0.080084,0.019256,0.006291
TXN,20191129,120.21,905922.0,0.018815,0.034997,0.026601
TXN,20191231,128.28999,833818.0,0.067216,0.028491,0.044379
TXN,20200131,120.65,1110603.0,-0.052537,-0.001728,-0.013334
TXN,20200228,114.14,938243.0,-0.053958,-0.077918,-0.069814
TXN,20200331,99.93,2219080.0,-0.124496,-0.141733,-0.207501
TXN,20200430,116.07,1396178.0,0.161513,0.129677,0.153872
TXN,20200529,118.74,923172.0,0.030757,0.053739,0.06407
TXN,20200630,126.97,1160938.0,0.069311,0.025299,0.057391
TXN,20200731,127.55,1078365.0,0.011656,0.055529,0.040736
TXN,20200831,142.14999,734974.0,0.114465,0.068443,0.038884
TXN,20200930,142.78999,927066.0,0.004502,-0.035057,-0.027356
TXN,20201030,144.59,916335.0,0.019749,-0.020178,0.000584
TXN,20201130,161.25,752569.0,0.115222,0.123707,0.174412
TXN,20201231,164.13,862153.0,0.017860,0.045048,0.072853
HPE,20151130,14.86,4116548.0,C,0.002426,0.00734
HPE,20151231,15.2,2411435.0,0.026581,-0.022288,-0.035903
HPE,20160129,13.76,2745646.0,-0.094737,-0.05718,-0.074949
HPE,20160229,13.27,2104488.0,-0.035610,0.000604,0.005587
HPE,20160331,17.73,2863258.0,0.340241,0.070581,0.07819
