datadate,fyearq,fqtr,tic,conm,rating,atq,ceqq,cheq,chq,cshoq,dlcq,dpq,intanq,ltq,niq,pstkq,pstkrq,seqq,txditcq,xsgaq,capxy,epspxy,costat,mkvaltq,sic
20101231,2010,4,ABT,ABBOTT LABORATORIES,AA,59462.266,22388.135,7323.94,3648.371,1546.984,6394.766,709.578,28081.705,36985.802,1440.847,0,0,22388.135,,3573.661,1015.075,2.98,A,74116.0034,3845
20110331,2011,1,ABT,ABBOTT LABORATORIES,AA,61651.363,24629.65,8375.839,2740.156,1554.283,6251.963,745.667,28836.827,36931.031,863.818,0,0,24629.65,,3513.718,391.813,0.56,A,76237.5812,3845
20110630,2011,2,ABT,ABBOTT LABORATORIES,AA,62004.241,26378.853,8893.499,4077.018,1556.577,5591.35,811.412,28496.527,35534.538,1942.782,0,0,26378.853,,3608.866,764.77,1.8,A,81907.0817,3845
20110930,2011,3,ABT,ABBOTT LABORATORIES,AA,59628.176,24603.8,7976.502,5049.299,1557.796,3624.561,838.386,27024.362,34939.204,303.181,0,0,24603.8,,3665.537,1216.765,1.99,A,79665.6874,3845
20111231,2011,4,ABT,ABBOTT LABORATORIES,AA,60276.893,24439.833,8097.359,6812.82,1570.379,3374.755,648.429,25695.016,35750.748,1618.668,0,0,24439.833,,3845.11,1491.5,3.03,A,88302.4112,3845
20120331,2012,1,ABT,ABBOTT LABORATORIES,AA,62415.801,25453.691,9526.561,4345.91,1573.392,4785.435,563.801,25695.652,36872.367,1242.124,0,0,25453.691,,2055.746,453.33,0.22,A,96433.1957,3845
20120630,2012,2,ABT,ABBOTT LABORATORIES,AA,61859.79,24486.96,11002.138,7052.776,1569.334,6082.923,870.901,24340.473,37287.305,1724.612,0,0,24486.96,,2074.228,878.446,0.48,A,101174.963,3845
20120930,2012,3,ABT,ABBOTT LABORATORIES,AA,63257.738,27014.175,11504.522,7996.948,1580.668,4224.991,759.728,24668.675,36153.397,1942.803,0,0,27014.175,,2270.768,1409.193,0.7,A,108370.5981,3845
20121231,2012,4,ABT,ABBOTT LABORATORIES,AA,67234.944,26720.961,15173.984,10802.163,1576.667,2390.662,587.57,24362.412,40421.712,1053.461,0,0,26720.961,710,2230.258,1795.289,0.36,A,103271.6885,3845
20130331,2013,1,ABT,ABBOTT LABORATORIES,AA,42686.613,22588.186,8517.313,4373.12,1558.865,3635.85,420.853,15482.258,20003.338,544.661,0,0,22588.186,,2131.882,274.465,0.35,A,55059.1118,3845
20130630,2013,2,ABT,ABBOTT LABORATORIES,AA,42903.346,22336.064,9393.592,5572.254,1554.125,4523.778,436.147,15000.331,20475.7,476.339,0,0,22336.064,,1760.118,564.884,0.55,A,54207.88,3845
20130930,2013,3,ABT,ABBOTT LABORATORIES,AA,44132.477,23696.237,8605.484,2882.454,1546.186,4859.876,436,15651.001,20344.546,966,0,0,23696.237,,1951,841.341,0.96,A,51317.9133,3845
20131231,2013,4,ABT,ABBOTT LABORATORIES,AA,42953,25171,8098,3475,1548.098,3173,426,15507,17686,589,0,0,25171,466,1900,1145,1.27,A,59338.5963,3845
20140331,2014,1,ABT,ABBOTT LABORATORIES,AA,41662,23390,7047,2060,1501.939,4378,398,15394,18173,375,0,0,23390,,1854,255,0.14,A,57839.6709,3845
20140630,2014,2,ABT,ABBOTT LABORATORIES,AA,41475,23602,7062,3570,1503.699,3962,400,15179,17771,465,0,0,23602,,1863,513,0.42,A,61501.2891,3845
20140930,2014,3,ABT,ABBOTT LABORATORIES,AA,42514,22888,4877,3613,1505.791,4582,355,16142,19521,537,0,0,22888,,1928,790,0.71,A,62625.8477,3845
